Month,DecimalTime
March,1.22
March,1.22
March,1.22
March,0.72
March,0.72
March,1.1
March,6.62
March,9.87
March,0.15
March,0.97
March,9.38
March,1.12
March,0.33
March,0.38
March,1
March,1
March,1
March,1
March,1
March,1
March,0.62
March,0.62
March,4.65
March,4.65
March,0.5
March,0.47
March,0.07
March,5.7
March,0.93
March,3.73
March,3.73
March,2.9
March,2.9
March,0.47
April,2
April,0.9
April,3.97
April,1.27
April,2.18
April,0.38
April,0.47
April,0.47
April,0.83
April,6.83
May,0.92
May,0.4
May,0.4
May,1.25
May,0.8
May,1.03
June,2.9
June,2.9
June,0.65
June,0.65
June,0.85
June,0.85
June,1.68
June,1.55
June,1.55
June,1.55
June,6.65
June,6.65
June,0.45
June,1.5
June,0.45
June,0.45
June,1.03
June,1.18
July,0.7
July,3.13
July,3.13
August,2.65
August,5.28
August,0
August,0
August,1.93
August,1.93
September,0.87
September,0.87
