WP,Site,x,y,Time1,Secchi Depth1 (cm),DO 2 (mg/L),Temp1 (C),Depth1,%Veg,%Canopy,Time2,Secchi Depth2 (cm),DO 2 (mg/L),Temp 2 (C),Depth 2,AvgDepth
Dock,1,-88.778553,33.271622,6/13/2020 17:31,38,9.84,30.5,215,0,0,6/14/2020 5:19,45,7.74,27.5,192,203.5
1,1,-88.777474,33.272608,6/13/2020 17:45,43,10.08,29.7,231,0,0,6/14/2020 5:36,51,7.67,27.5,233,232
2,1,-88.78053,33.272564,6/13/2020 17:53,44,10.22,29.9,207,0,0,6/14/2020 5:40,47,8.25,27.6,183,195
3,1,-88.783587,33.272521,6/13/2020 17:58,47,10.1,30,197,0,0,6/14/2020 5:47,53,8.12,27.6,207,202
4,1,-88.786643,33.272477,6/13/2020 18:05,42,10.01,30.1,191,0,0,6/14/2020 5:51,49,7.5,27.5,189,190
5,2,-88.790522,33.275746,6/13/2020 18:12,51,10.31,29.7,150,30,20,6/14/2020 5:59,48,7.88,27.5,173,161.5
6,2,-88.787517,33.27579,6/13/2020 18:19,61,9.49,30,139,10,60,6/14/2020 6:09,68,6.37,27.4,140,139.5
7,1,-88.786695,33.275044,6/13/2020 18:25,44,9.44,29.3,174,0,0,6/14/2020 6:15,63,5.82,27.3,165,169.5
8,1,-88.783639,33.275088,6/13/2020 18:31,43,9.59,29.1,183,0,0,6/14/2020 6:21,48,8.07,27.4,136,159.5
9,1,-88.780583,33.275132,6/13/2020 18:34,42,9.73,29.7,183,0,0,6/14/2020 6:25,57,7.45,26.8,189,186
10,1,-88.777526,33.275176,6/13/2020 18:41,47,9.85,28.7,307,0,0,6/14/2020 6:33,46,7.39,27.4,188,247.5
11,1,-88.780635,33.277699,6/13/2020 18:45,42,9.31,28.9,175,0,0,6/14/2020 6:40,55,7.97,27,180,177.5
12,1,-88.783691,33.277655,6/13/2020 18:51,42,8.93,28.8,172,0,0,6/14/2020 6:47,59,7.85,27,164,168
13,2,-88.787569,33.278314,6/13/2020 18:56,53,9.69,29.5,127,40,20,6/14/2020 6:55,69,7.11,27.2,158,142.5
14,2,-88.796637,33.280709,6/13/2020 19:09,25,3.29,23.4,228,40,85,6/14/2020 7:17,46,3.65,23.5,189,208.5
15,2,-88.793631,33.280752,6/13/2020 19:15,46,3.36,24.1,116,20,20,6/14/2020 7:10,57,1.34,23.7,110,113
16,2,-88.78762,33.280839,6/13/2020 19:25,62,4.72,26,231,40,30,6/14/2020 7:25,72,5.02,25.5,220,225.5
17,1,-88.783743,33.280223,6/13/2020 19:33,49,7.89,27.6,150,5,0,6/14/2020 7:31,52,7.07,26.1,15,82.5
18,1,-88.780687,33.280266,6/13/2020 19:37,39,7.48,27,150,5,0,6/14/2020 7:37,55,7.92,27.1,173,161.5
19,2,-88.78166,33.283449,6/13/2020 19:42,55,6.24,26.1,161,20,10,6/14/2020 7:42,52,7.14,26.2,150,155.5
20,2,-88.784666,33.283406,6/13/2020 19:47,58,3.21,26.1,150,20,10,6/14/2020 7:48,68,5.23,25.6,140,145
21,2,-88.784717,33.285931,6/13/2020 19:54,50,3.12,28.1,116,60,40,6/14/2020 7:53,41,2.02,24.5,113,114.5
22,2,-88.781712,33.285974,6/13/2020 20:06,68,3.59,25.1,117,5,5,6/14/2020 8:15,67,4.43,24.8,139,128
23,2,-88.787774,33.288412,6/13/2020 19:58,46,3.03,24,227,20,5,6/14/2020 8:02,57,3.72,23.5,194,210.5
24,2,-88.793838,33.29085,6/13/2020 20:03,44,2.54,23.5,233,20,5,6/14/2020 8:08,51,2.78,23.2,235,234
