White Crappie,Warmouth,Brown Bullhead,Bluegill,Green Sunfish,Redear Sunfish,Pirate Perch,Black Crappie,Spotted Gar,Bowfin,Spotted Sucker,Blacktail Redhorse,Lake Chubsucker,Striped Shiner,Flier,Golden Shiner,
2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2
4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
10,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2
0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0,2
3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
2,1,0,5,1,0,0,4,2,0,0,0,1,2,1,0,2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
6,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,2
1,0,0,4,0,0,0,2,6,1,0,0,0,4,0,1,2
3,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2
