"","Year","Month","x","var","Group","Days","Total","CIhigh","CIlow"
"1","2019",3,66.9298701298701,185472.003690167,"Boat",31,2074.82597402597,2918.92860367248,1230.72334437947
"2","2019",4,48.4444774273346,353005.261637587,"Boat",30,1453.33432282004,2617.85354254419,288.815103095883
"3","2019",5,15.9356833642548,42300.6324205645,"Boat",31,494.006184291899,897.121688219545,90.8906803642519
"4","2019",6,30.5965120593692,187229.310039825,"Boat",30,917.895361781076,1765.98740716824,69.8033163939072
"5","2019",7,35.0585034013605,139917.476468021,"Boat",31,1086.81360544218,1819.96227904089,353.664931843466
"6","2019",8,32.9337456194599,22054.1758773883,"Boat",31,1020.94611420326,1312.01882341966,729.873404986857
"7","2019",9,36.1208822923109,77538.1799752603,"Boat",30,1083.62646876933,1629.4017633668,537.851174171852
"8","2019",10,60.5555967841682,237534.320515478,"Boat",31,1877.22350030921,2832.47835933494,921.968641283489
"9","2020",3,89.771016285302,472989.763796611,"Boat",31,2782.90150484436,4130.87682976729,1434.92617992144
"10","2020",5,124.601867067173,77612.0316193638,"Boat",31,3862.65787908237,4408.69302508393,3316.62273308081
"11","2020",6,85.1117260064199,20202.907586674,"Boat",30,2553.3517801926,2831.9401679351,2274.76339245009
"12","2020",7,23.2205671879141,33889.2036817814,"Boat",31,719.837582825338,1080.65438518345,359.020780467228
"13","2020",8,21.9001819948759,22831.0524843238,"Boat",31,678.905641841152,975.060620228783,382.750663453521
"14","2020",9,46.7446712018141,98219.5425642948,"Boat",30,1402.34013605442,2016.60408153307,788.076190575774
"15","2020",10,45.6822923108637,4700.07026895161,"Boat",31,1416.15106163678,1550.52289627933,1281.77922699423
