"x","y","z"
-88.7790385,33.2719488,0
-88.7788346,33.2717066,0
-88.7785772,33.2715406,0
-88.7783089,33.2714285,0
-88.7779978,33.271294,0
-88.7777618,33.2715137,0
-88.777574,33.2717245,0
-88.7774077,33.2719308,0
-88.7778637,33.2721686,0
-88.7774667,33.2727292,0
-88.7774077,33.2728279,0
-88.7769517,33.2726171,0
-88.7768444,33.2728772,0
-88.7767425,33.2731508,0
-88.7766942,33.2735813,0
-88.7767693,33.2738594,0
-88.7768585,33.2741062,0
-88.7769229,33.2743574,0
-88.7768478,33.2746086,0
-88.7774701,33.2773443,0
-88.7782622,33.2809661,0
-88.7784982,33.2817733,0
-88.7787128,33.2812351,0
-88.7792707,33.2810558,0
-88.7796999,33.2813742,0
-88.7802202,33.2819303,0
-88.7805098,33.2824855,0
-88.780381,33.2831223,0
-88.7803059,33.2835976,0
-88.7809282,33.284073,0
-88.7808638,33.2846829,0
-88.7813895,33.2848712,0
-88.7818187,33.2853466,0
-88.7818723,33.2858578,0
-88.7820333,33.2864946,0
-88.7824946,33.287221,0
-88.7829989,33.2868623,0
-88.7826663,33.2861448,0
-88.7824088,33.2854094,0
-88.7830632,33.2853286,0
-88.7831491,33.2846919,0
-88.7831598,33.2841089,0
-88.7830525,33.2837412,0
-88.7825161,33.2830954,0
-88.7832421,33.2820498,0
-88.7830919,33.2794666,0
-88.7832206,33.2776189,0
-88.7837356,33.2765785,0
-88.7856024,33.2757532,0
-88.7871045,33.2748383,0
-88.7890357,33.2740849,0
-88.7898082,33.2735467,0
-88.7883725,33.2727815,0
-88.7877502,33.2724317,0
-88.7872352,33.2711848,0
-88.7869456,33.2706466,0
-88.7862375,33.2702071,0
-88.7857869,33.2706735,0
-88.7848105,33.2709875,0
-88.7832548,33.2715167,0
-88.7816455,33.2714091,0
-88.7805834,33.2713732,0
-88.7800577,33.2715526,0
-88.7795534,33.2722344,0
-88.7793388,33.2722523,0
-88.7790385,33.2719488,0
